"","variable","value"
"1","flash2",0.0757997253932786
"2","flash2",0.0736808902880218
"3","flash2",0.0747738053934031
"4","flash2",0.0703952964231379
"5","flash2",0.0784464204799698
"6","flash2",0.0746838117055421
"7","flash2",0.0666069617035695
"8","flash2",0.0722128017131809
"9","flash2",0.070422466219369
"10","flash2",0.0709217870035684
"11","flash2",0.075263749906364
"12","flash2",0.076250810471593
"13","flash2",0.0724497503808254
"14","flash2",0.0711128947348202
"15","flash2",0.072248475622644
"16","flash2",0.0720363784504822
"17","flash2",0.0755791929637255
"18","flash2",0.0696594769962864
"19","flash2",0.0731789477060415
"20","flash2",0.0700666056891403
"21","flash2",0.0692429612985055
"22","flash2",0.0684742920006079
"23","flash2",0.0774000467836037
"24","flash2",0.0716146178487989
"25","flash2",0.0763617761002886
"26","flash2",0.0771221395878867
"27","flash2",0.0703793336848876
"28","flash2",0.074191869548342
"29","flash2",0.0747398484504493
"30","flash2",0.0756497649671617
"31","flash2",0.0761373678206241
"32","flash2",0.0712352276392393
"33","flash2",0.0673649727727153
"34","flash2",0.0743104966847818
"35","flash2",0.0707339761058276
"36","flash2",0.0727383815838716
"37","flash2",0.0710983502677081
"38","flash2",0.0704925181495834
"39","flash2",0.0711343111870053
"40","flash2",0.0711754607889742
"41","flash2",0.0726701256375373
"42","flash2",0.0735456683543739
"43","flash2",0.0722097463135015
"44","flash2",0.0763189840263077
"45","flash2",0.0732990219526375
"46","flash2",0.0774027528744417
"47","flash2",0.0736713916864556
"48","flash2",0.0687201807871164
"49","flash2",0.0777049586560358
"50","flash2",0.0756431893014484
"51","flash_backfit",0.0758002873483658
"52","flash_backfit",0.0736808118496088
"53","flash_backfit",0.0747746852491696
"54","flash_backfit",0.0703948709487199
"55","flash_backfit",0.0784463688278793
"56","flash_backfit",0.0746826958515752
"57","flash_backfit",0.0666085359309431
"58","flash_backfit",0.0722129427635642
"59","flash_backfit",0.0703932429394023
"60","flash_backfit",0.0709207126531668
"61","flash_backfit",0.0752662963723587
"62","flash_backfit",0.0762468054168011
"63","flash_backfit",0.0724483801140781
"64","flash_backfit",0.0711134073470071
"65","flash_backfit",0.0722484082730525
"66","flash_backfit",0.0720361436097851
"67","flash_backfit",0.0755814746888674
"68","flash_backfit",0.0696545795065004
"69","flash_backfit",0.0731792886149305
"70","flash_backfit",0.0700681066874174
"71","flash_backfit",0.0692404056742294
"72","flash_backfit",0.0684744237459701
"73","flash_backfit",0.0773972167261385
"74","flash_backfit",0.0716102901339089
"75","flash_backfit",0.0763615453476978
"76","flash_backfit",0.0771227094049149
"77","flash_backfit",0.0703787895742361
"78","flash_backfit",0.074191813113016
"79","flash_backfit",0.0747403752917609
"80","flash_backfit",0.0756498807966926
"81","flash_backfit",0.0761376672804385
"82","flash_backfit",0.0712359509468272
"83","flash_backfit",0.0673627591553334
"84","flash_backfit",0.0743102842288542
"85","flash_backfit",0.0707344024551627
"86","flash_backfit",0.0727361837631352
