"","variable","value"
"1","flash2",0.356058964598687
"2","flash2",0.462666936701199
"3","flash2",0.391833273071847
"4","flash2",0.367353616108206
"5","flash2",0.390828997277517
"6","flash2",0.398368640672598
"7","flash2",0.419681546519872
"8","flash2",0.35857705601502
"9","flash2",0.418916576224601
"10","flash2",0.367494726385238
"11","flash2",0.357234152667988
"12","flash2",0.36308024677188
"13","flash2",0.428579598122251
"14","flash2",0.414983547376134
"15","flash2",0.383242018179822
"16","flash2",0.382243942961
"17","flash2",0.414530070609899
"18","flash2",0.456016515565591
"19","flash2",0.390088917228148
"20","flash2",0.410286525959462
"21","flash2",0.39644261754325
"22","flash2",0.442455010569561
"23","flash2",0.36062003881556
"24","flash2",0.402759461842219
"25","flash2",0.395439158039443
"26","flash2",0.435810102081487
"27","flash2",0.457175823240119
"28","flash2",0.401028256890614
"29","flash2",0.433593189025845
"30","flash2",0.460260645859787
"31","flash2",0.39377986237373
"32","flash2",0.320960314182143
"33","flash2",0.353797384618393
"34","flash2",0.376321955365775
"35","flash2",0.386667483531335
"36","flash2",0.364387987227129
"37","flash2",0.458784862086896
"38","flash2",0.362085607491275
"39","flash2",0.404404421066281
"40","flash2",0.412431002722626
"41","flash2",0.434754707315876
"42","flash2",0.446688086290764
"43","flash2",0.392103076691473
"44","flash2",0.450807912370881
"45","flash2",0.407718053660673
"46","flash2",0.416513559314631
"47","flash2",0.39613205560021
"48","flash2",0.39950421387436
"49","flash2",0.472449986396929
"50","flash2",0.425232042178152
"51","flash_backfit",0.356068570394672
"52","flash_backfit",0.462673759179987
"53","flash_backfit",0.391828604229651
"54","flash_backfit",0.367361021733012
"55","flash_backfit",0.39081926149514
"56","flash_backfit",0.39837874346444
"57","flash_backfit",0.419682915659484
"58","flash_backfit",0.358576167120147
"59","flash_backfit",0.418912719935022
"60","flash_backfit",0.367513628218684
"61","flash_backfit",0.357218779939806
"62","flash_backfit",0.363084975626151
"63","flash_backfit",0.428588836584119
"64","flash_backfit",0.414970522399448
"65","flash_backfit",0.383233870062301
"66","flash_backfit",0.382239937052514
"67","flash_backfit",0.414532786066141
"68","flash_backfit",0.456011758944045
"69","flash_backfit",0.390099837714938
"70","flash_backfit",0.41029327847499
